"term_id1";"term_id2";"tipus";"megjegyzes"
"20039";"59919";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20039";"59786";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20104";"20879";"Együtt felhasználásra ajánlott";"A lépcsõkorlát forduló és végzárás kialakítására szolgál!"
"20104";"20875";"Együtt felhasználásra ajánlott";"Az átmérõ 40 mm-es rúdakat lehet szakszerüen stabilan a falra vagy könyöklõre szerelni rögzíteni!"
"20107";"65328";"Együtt felhasználásra ajánlott";"A lépcsõkorlát szakszerû erõs rögzítése a falhoz!"
"20236";"20969";"Együtt felhasználásra ajánlott";"Az utólagszerelhetó tok falnyílásba tarténõ rögzítésére használható!"
"20236";"67526";"Együtt felhasználásra ajánlott";"KILINCS BELSÕ AJTÓHOZ. A ZÁR LYUK KÖZÉP TÁVOLSÁGA FONTOS!"
"20236";"55326";"Együtt felhasználásra ajánlott";"KILINCS BELSÕ AJTÓHOZ. A ZÁR LYUK KÖZÉP TÁVOLSÁGA FONTOS!"
"20236";"21978";"Együtt felhasználásra ajánlott";"KILINCS BELSÕ AJTÓHOZ. A ZÁR LYUK KÖZÉP TÁVOLSÁGA FONTOS!"
"20236";"67476";"Együtt felhasználásra ajánlott";"KILINCS BELSÕ AJTÓHOZ. A ZÁR LYUK KÖZÉP TÁVOLSÁGA FONTOS!"
"20236";"21945";"Együtt felhasználásra ajánlott";"Dekor fóliás kivitelû beltéri ajtókhoz rozettás kilincs ajánlott."
"20236";"67619";"Együtt felhasználásra ajánlott";"Dekor fóliás kivitelû beltéri ajtókhoz rozettás kilincs ajánlott."
"20313";"64836";"Együtt felhasználásra ajánlott";"Ezek a vastagságú ( 4 mm) falemezek illeszthetõk a lécek hornyába."
"20313";"64837";"Együtt felhasználásra ajánlott";"Ezek a vastagságú ( 4 mm) falemezek illeszthetõk a lécek hornyába."
"20313";"64834";"Együtt felhasználásra ajánlott";"Ezek a vastagságú ( 4 mm) falemezek illeszthetõk a lécek hornyába."
"20483";"58702";"Együtt felhasználásra ajánlott";"Az ajtólapok ajtótokra szereléséhez ajánlott 2 db ajtópánt!"
"20492";"55336";"Együtt felhasználásra ajánlott";"Kilincs az ablakhoz!"
"20492";"55337";"Együtt felhasználásra ajánlott";"Kilincs az ablakhoz!"
"20598";"53316";"Együtt felhasználásra ajánlott";""
"20600";"22149";"Együtt felhasználásra ajánlott";""
"20601";"22512";"Együtt felhasználásra ajánlott";""
